2011,10,13,0,0,23:50,Luoteis,0,8,9,5,6
2011,10,13,0,5,23:50,Luoteis,0,8,9,5,6
2011,10,13,0,10,0:00,Luoteis,0,8,9,5,5
2011,10,13,0,15,0:00,Luoteis,0,8,9,5,5
2011,10,13,0,20,0:00,Luoteis,0,8,9,5,5
2011,10,13,0,25,0:10,Luoteis,0,8,9,5,7
2011,10,13,0,30,0:10,Luoteis,0,8,9,5,7
2011,10,13,0,35,0:20,Luoteis,0,7,9,5,5
2011,10,13,0,40,0:20,Luoteis,0,7,9,5,5
2011,10,13,0,45,0:30,Luoteis,0,7,9,5,5
2011,10,13,0,50,0:30,Luoteis,0,7,9,5,5
2011,10,13,0,55,0:40,Luoteis,0,7,9,5,6
2011,10,13,1,0,0:50,Luoteis,0,8,9,5,7
2011,10,13,1,5,0:50,Luoteis,0,8,9,5,7
2011,10,13,1,10,0:50,Luoteis,0,8,9,5,7
2011,10,13,1,15,1:00,Luoteis,0,7,9,5,7
2011,10,13,1,20,1:00,Luoteis,0,7,9,5,7
2011,10,13,1,25,1:10,Luoteis,0,7,9,5,6
2011,10,13,1,30,1:10,Luoteis,0,7,9,5,6
2011,10,13,1,35,1:20,Luoteis,0,7,8,5,6
2011,10,13,1,40,1:20,Luoteis,0,7,8,5,6
2011,10,13,1,45,1:30,Luoteis,0,7,8,5,6
2011,10,13,1,50,1:30,Luoteis,0,7,8,5,6
2011,10,13,1,55,1:40,Luoteis,0,7,8,5,7
2011,10,13,2,0,1:40,Luoteis,0,7,8,5,7
2011,10,13,2,5,1:50,Luoteis,0,6,8,5,7
2011,10,13,2,10,1:50,Luoteis,0,6,8,5,7
2011,10,13,2,15,2:00,Luoteis,0,7,8,5,6
2011,10,13,2,20,2:00,Luoteis,0,7,8,5,6
2011,10,13,2,25,2:10,Luoteis,0,7,8,5,6
2011,10,13,2,30,2:20,Luoteis,0,7,9,5,7
2011,10,13,2,35,2:20,Luoteis,0,7,9,5,7
2011,10,13,2,40,2:20,Luoteis,0,7,9,5,7
2011,10,13,2,45,2:30,Luoteis,0,7,9,5,8
2011,10,13,2,50,2:30,Luoteis,0,7,9,5,8
2011,10,13,2,55,2:40,Luoteis,0,7,9,5,7
2011,10,13,3,0,2:40,Luoteis,0,7,9,5,7
2011,10,13,3,5,2:40,Luoteis,0,7,9,5,7
2011,10,13,3,10,2:40,Luoteis,0,7,9,5,7
2011,10,13,3,15,3:00,Luoteis,0,7,8,5,9
2011,10,13,3,20,3:10,Luoteis,0,7,8,5,8
2011,10,13,3,25,3:10,Luoteis,0,7,8,5,8
2011,10,13,3,30,3:10,Luoteis,0,7,8,5,8
2011,10,13,3,35,3:20,Luoteis,0,7,9,5,9
2011,10,13,3,40,3:30,Luoteis,0,7,8,6,0
2011,10,13,3,45,3:30,Luoteis,0,7,8,6,0
2011,10,13,3,50,3:40,Luoteis,0,8,9,6,0
